Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [GBIF Taxonomy],Characteristics [Open Tree Taxonomy],Characteristics [Description],Characteristics [Basis of Record],Characteristics [Voucher Specimen],Experimental Condition [Collector],Experimental Condition [Collection Date],Experimental Condition [Identified By],Characteristics [Geodetic.datum],Characteristics [Latitude],Characteristics [Longitude],Characteristics [Elevation],Characteristics [Coordinate Precision],Protocol REF,Experimental Condition [Microscope],Experimental Condition [Microscope Instrument],Experimental Condition [Microscope Contrast Method],Experimental Condition [Microscope Magnification],Experimental Condition [Microscope Objective],Comment [Image File],Comment [Multi-Focus Image Fusion Stack],Comment [Image Stitching Stack],Phenotype,Phenotype Term Accession
Diplophyllum albicans,IMG_0004 Diplophyllum albicans voucher specimen.ome.tiff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,voucher specimen,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,,,Raw,IMG_0004 Diplophyllum albicans voucher specimen,IMG_0004 Diplophyllum albicans voucher specimen,round cell,CMPU_0000118
Diplophyllum albicans,IMG_0006-0060 Diplophyllum albicans stature ventral side (2.5x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,stature ventral side,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,2.5x,,Raw,IMG_0006-0060 Diplophyllum albicans stature ventral side (2.5x),IMG_0006-0260 Diplophyllum albicans stature ventral side (2.5x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_0061-0110 Diplophyllum albicans stature ventral side (2.5x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,stature ventral side,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,2.5x,,Raw,IMG_0061-0110 Diplophyllum albicans stature ventral side (2.5x),IMG_0006-0260 Diplophyllum albicans stature ventral side (2.5x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_0111-0160 Diplophyllum albicans stature ventral side (2.5x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,stature ventral side,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,2.5x,,Raw,IMG_0111-0160 Diplophyllum albicans stature ventral side (2.5x),IMG_0006-0260 Diplophyllum albicans stature ventral side (2.5x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_0161-0210 Diplophyllum albicans stature ventral side (2.5x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,stature ventral side,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,2.5x,,Raw,IMG_0161-0210 Diplophyllum albicans stature ventral side (2.5x),IMG_0006-0260 Diplophyllum albicans stature ventral side (2.5x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_0211-0260 Diplophyllum albicans stature ventral side (2.5x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,stature ventral side,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,2.5x,,Raw,IMG_0211-0260 Diplophyllum albicans stature ventral side (2.5x),IMG_0006-0260 Diplophyllum albicans stature ventral side (2.5x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_0261-0310 Diplophyllum albicans stature ventral side (2.5x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,stature ventral side,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,2.5x,,Raw,IMG_0261-0310 Diplophyllum albicans stature ventral side (2.5x),IMG_0261-0360 Diplophyllum albicans stature ventral side (2.5x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_0311-0360 Diplophyllum albicans stature ventral side (2.5x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,stature ventral side,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,2.5x,,Raw,IMG_0311-0360 Diplophyllum albicans stature ventral side (2.5x),IMG_0261-0360 Diplophyllum albicans stature ventral side (2.5x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_0361-0410 Diplophyllum albicans stature dorsal side (2.5x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,stature dorsal side,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,2.5x,,Raw,IMG_0361-0410 Diplophyllum albicans stature dorsal side (2.5x),IMG_0361-0460 Diplophyllum albicans stature dorsal side (2.5x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_0411-0460 Diplophyllum albicans stature dorsal side (2.5x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,stature dorsal side,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,2.5x,,Raw,IMG_0411-0460 Diplophyllum albicans stature dorsal side (2.5x),IMG_0361-0460 Diplophyllum albicans stature dorsal side (2.5x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_0461-0510 Diplophyllum albicans stature dorsal side (2.5x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,stature dorsal side,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,2.5x,,Raw,IMG_0461-0510 Diplophyllum albicans stature dorsal side (2.5x),IMG_0461-0710 Diplophyllum albicans stature dorsal side (2.5x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_0511-0560 Diplophyllum albicans stature dorsal side (2.5x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,stature dorsal side,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,2.5x,,Raw,IMG_0511-0560 Diplophyllum albicans stature dorsal side (2.5x),IMG_0461-0710 Diplophyllum albicans stature dorsal side (2.5x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_0561-0610 Diplophyllum albicans stature dorsal side (2.5x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,stature dorsal side,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,2.5x,,Raw,IMG_0561-0610 Diplophyllum albicans stature dorsal side (2.5x),IMG_0461-0710 Diplophyllum albicans stature dorsal side (2.5x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_0611-0660 Diplophyllum albicans stature dorsal side (2.5x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,stature dorsal side,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,2.5x,,Raw,IMG_0611-0660 Diplophyllum albicans stature dorsal side (2.5x),IMG_0461-0710 Diplophyllum albicans stature dorsal side (2.5x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_0661-0710 Diplophyllum albicans stature dorsal side (2.5x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,stature dorsal side,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,2.5x,,Raw,IMG_0661-0710 Diplophyllum albicans stature dorsal side (2.5x),IMG_0461-0710 Diplophyllum albicans stature dorsal side (2.5x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_0711-0760 Diplophyllum albicans stature ventral side (2.5x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,stature ventral side,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,2.5x,,Raw,IMG_0711-0760 Diplophyllum albicans stature ventral side (2.5x),IMG_0711-0860 Diplophyllum albicans stature ventral side (2.5x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_0761-0810 Diplophyllum albicans stature ventral side (2.5x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,stature ventral side,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,2.5x,,Raw,IMG_0761-0810 Diplophyllum albicans stature ventral side (2.5x),IMG_0711-0860 Diplophyllum albicans stature ventral side (2.5x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_0811-0860 Diplophyllum albicans stature ventral side (2.5x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,stature ventral side,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,2.5x,,Raw,IMG_0811-0860 Diplophyllum albicans stature ventral side (2.5x),IMG_0711-0860 Diplophyllum albicans stature ventral side (2.5x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_0861-0910 Diplophyllum albicans stature ventral side (2.5x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,stature ventral side,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,2.5x,,Raw,IMG_0861-0910 Diplophyllum albicans stature ventral side (2.5x),IMG_0861-1010 Diplophyllum albicans stature ventral side (2.5x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_0911-0960 Diplophyllum albicans stature ventral side (2.5x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,stature ventral side,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,2.5x,,Raw,IMG_0911-0960 Diplophyllum albicans stature ventral side (2.5x),IMG_0861-1010 Diplophyllum albicans stature ventral side (2.5x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_0961-1010 Diplophyllum albicans stature ventral side (2.5x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,stature ventral side,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,2.5x,,Raw,IMG_0961-1010 Diplophyllum albicans stature ventral side (2.5x),IMG_0861-1010 Diplophyllum albicans stature ventral side (2.5x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_1011-1060 Diplophyllum albicans stature dorsal side (2.5x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,stature dorsal side,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,2.5x,,Raw,IMG_1011-1060 Diplophyllum albicans stature dorsal side (2.5x),IMG_1011-1160 Diplophyllum albicans stature dorsal side (2.5x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_1061-1110 Diplophyllum albicans stature dorsal side (2.5x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,stature dorsal side,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,2.5x,,Raw,IMG_1061-1110 Diplophyllum albicans stature dorsal side (2.5x),IMG_1011-1160 Diplophyllum albicans stature dorsal side (2.5x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_1111-1160 Diplophyllum albicans stature dorsal side (2.5x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,stature dorsal side,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,2.5x,,Raw,IMG_1111-1160 Diplophyllum albicans stature dorsal side (2.5x),IMG_1011-1160 Diplophyllum albicans stature dorsal side (2.5x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_1161-1210 Diplophyllum albicans stature dorsal side (2.5x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,stature dorsal side,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,2.5x,,Raw,IMG_1161-1210 Diplophyllum albicans stature dorsal side (2.5x),IMG_1161-1310 Diplophyllum albicans stature dorsal side (2.5x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_1211-1260 Diplophyllum albicans stature dorsal side (2.5x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,stature dorsal side,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,2.5x,,Raw,IMG_1211-1260 Diplophyllum albicans stature dorsal side (2.5x),IMG_1161-1310 Diplophyllum albicans stature dorsal side (2.5x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_1261-1310 Diplophyllum albicans stature dorsal side (2.5x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,stature dorsal side,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,2.5x,,Raw,IMG_1261-1310 Diplophyllum albicans stature dorsal side (2.5x),IMG_1161-1310 Diplophyllum albicans stature dorsal side (2.5x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_1311-1360 Diplophyllum albicans leaf lobes (5x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,leaf lobes,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,5x,,Raw,IMG_1311-1360 Diplophyllum albicans leaf lobes (5x),IMG_1261-1310 Diplophyllum albicans stature dorsal side (2.5x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_1361-1410 Diplophyllum albicans leaf lobes (5x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,leaf lobes,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,5x,,Raw,IMG_1361-1410 Diplophyllum albicans leaf lobes (5x),IMG_1311-1360 Diplophyllum albicans leaf lobes (5x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_1411-1460 Diplophyllum albicans leaf lobes (5x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,leaf lobes,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,5x,,Raw,IMG_1411-1460 Diplophyllum albicans leaf lobes (5x),IMG_1361-1410 Diplophyllum albicans leaf lobes (5x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_1461-1510 Diplophyllum albicans leaf lobes (5x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,leaf lobes,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,5x,,Raw,IMG_1461-1510 Diplophyllum albicans leaf lobes (5x),IMG_1411-1460 Diplophyllum albicans leaf lobes (5x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_1511-1560 Diplophyllum albicans leaf lobes (5x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,leaf lobes,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,5x,,Raw,IMG_1511-1560 Diplophyllum albicans leaf lobes (5x),IMG_1461-1510 Diplophyllum albicans leaf lobes (5x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_1561-1610 Diplophyllum albicans leaf lobes (5x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,leaf lobes,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,5x,,Raw,IMG_1561-1610 Diplophyllum albicans leaf lobes (5x),IMG_1511-1560 Diplophyllum albicans leaf lobes (5x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_1611-1660 Diplophyllum albicans leaf lobes (5x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,leaf lobes,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,5x,,Raw,IMG_1611-1660 Diplophyllum albicans leaf lobes (5x),IMG_1561-1610 Diplophyllum albicans leaf lobes (5x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_1661-1710 Diplophyllum albicans postical lobe leaf apex (40x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,postical lobe leaf apex,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,40x,,Raw,IMG_1661-1710 Diplophyllum albicans postical lobe leaf apex (40x),IMG_1611-1660 Diplophyllum albicans leaf lobes (5x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_1711-1810 Diplophyllum albicans postical lobe leaf apex (40x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,postical lobe leaf apex,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,40x,,Raw,IMG_1711-1810 Diplophyllum albicans postical lobe leaf apex (40x),IMG_1661-1710 Diplophyllum albicans postical lobe leaf apex (40x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_1811-1910 Diplophyllum albicans postical lobe leaf center with vitta (40x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,postical lobe leaf center with vitta,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,40x,,Raw,IMG_1811-1910 Diplophyllum albicans postical lobe leaf center with vitta (40x),IMG_1711-1810 Diplophyllum albicans postical lobe leaf apex (40x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_1911-2010 Diplophyllum albicans antical lobe leaf center with vitta (40x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,antical lobe leaf center with vitta,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,40x,,Raw,IMG_1911-2010 Diplophyllum albicans antical lobe leaf center with vitta (40x),IMG_1811-1910 Diplophyllum albicans postical lobe leaf center with vitta (40x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_2011-2110 Diplophyllum albicans antical lobe leaf margin (40x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,antical lobe leaf margin,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,40x,,Raw,IMG_2011-2110 Diplophyllum albicans antical lobe leaf margin (40x),IMG_1911-2010 Diplophyllum albicans antical lobe leaf center with vitta (40x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_2111-2210 Diplophyllum albicans postical lobe leaf margin (40x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,postical lobe leaf margin,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,40x,,Raw,IMG_2111-2210 Diplophyllum albicans postical lobe leaf margin (40x),IMG_2011-2110 Diplophyllum albicans antical lobe leaf margin (40x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_2211-2310 Diplophyllum albicans antical lobe basal leaf margin (40x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,antical lobe basal leaf margin,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,40x,,Raw,IMG_2211-2310 Diplophyllum albicans antical lobe basal leaf margin (40x),IMG_2111-2210 Diplophyllum albicans postical lobe leaf margin (40x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_2311-2410 Diplophyllum albicans postical lobe basal leaf margin (40x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,postical lobe basal leaf margin,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,40x,,Raw,IMG_2311-2410 Diplophyllum albicans postical lobe basal leaf margin (40x),IMG_2211-2310 Diplophyllum albicans antical lobe basal leaf margin (40x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_2411-2460 Diplophyllum albicans gemmae (40x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,gemmae,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,40x,,Raw,IMG_2411-2460 Diplophyllum albicans gemmae (40x),IMG_2311-2410 Diplophyllum albicans postical lobe basal leaf margin (40x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_2461-2510 Diplophyllum albicans gemmae (40x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,gemmae,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,40x,,Raw,IMG_2461-2510 Diplophyllum albicans gemmae (40x),IMG_2411-2460 Diplophyllum albicans gemmae (40x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_2511-2560 Diplophyllum albicans gemmae (40x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,gemmae,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,40x,,Raw,IMG_2511-2560 Diplophyllum albicans gemmae (40x),IMG_2461-2510 Diplophyllum albicans gemmae (40x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_2561-2610 Diplophyllum albicans gemmae (40x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,gemmae,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,40x,,Raw,IMG_2561-2610 Diplophyllum albicans gemmae (40x),IMG_2511-2560 Diplophyllum albicans gemmae (40x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_2613-2710 Diplophyllum albicans antical lobe leaf apex (40x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,antical lobe leaf apex,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,40x,,Raw,IMG_2613-2710 Diplophyllum albicans antical lobe leaf apex (40x),IMG_2561-2610 Diplophyllum albicans gemmae (40x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_2711-2810 Diplophyllum albicans postical lobe leaf apex (40x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,postical lobe leaf apex,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,40x,,Raw,IMG_2711-2810 Diplophyllum albicans postical lobe leaf apex (40x),IMG_2613-2710 Diplophyllum albicans antical lobe leaf apex (40x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_2811-2895 Diplophyllum albicans postical lobe vitta (20x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,postical lobe vitta,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,20x,,Raw,IMG_2811-2895 Diplophyllum albicans postical lobe vitta (20x),IMG_2711-2810 Diplophyllum albicans postical lobe leaf apex (40x),round cell,CMPU_0000118
Diplophyllum albicans,IMG_2897-2946 Diplophyllum albicans leaf lobes cross section (20x).ome.ome.tifff,Diplophyllum albicans (L.) Dumort.,NCBI Taxon,NCBI:264775,GBIF:5286350,OTT:1055640,leaf lobes cross section,Preserved Specimen,Urmi-8371,,,,,,,,,image acquisition and feature extraction protocol,Microscopy Imaging,Zeiss Axio Scope.A1,,20x,,Raw,IMG_2897-2946 Diplophyllum albicans leaf lobes cross section (20x),IMG_2811-2895 Diplophyllum albicans postical lobe vitta (20x),round cell,CMPU_0000118
